問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号(0-3),カテゴリー(パーティ/歴史/マインクラフト/F1),難易度(1-5)
2002年ソルトレークシティオリンピックのテーマ（キャッチフレーズ）は何でしたか？,One World One Dream,Light the Fire Within,Passion lives here,Hot. Cool. Yours.,1,冬季五輪,2
2002年ソルトレークシティ五輪のスピードスケート男子500mで銀メダルを獲得した日本人選手は誰ですか？,清水宏保,武田豊樹,加藤条治,長島圭一郎,0,冬季五輪,2
2002年ソルトレークシティ五輪のショートトラック男子1000m決勝で、先行選手が転倒し、南半球勢として初の金メダルを獲得した選手は誰ですか？,アポロ・アントン・オーノ,スティーブン・ブラッドバリー,キム・ドンソン,寺尾悟,1,冬季五輪,3
2002年ソルトレークシティ五輪のスキー・フリースタイル女子モーグルで銅メダルを獲得した選手は誰ですか？,上村愛子,里谷多英,伊藤みき,村田愛里咲,1,冬季五輪,2
2002年ソルトレークシティ五輪の開会式で、開会宣言を行った人物は誰ですか？,ビル・クリントン,ジョージ・W・ブッシュ,バラク・オバマ,ドナルド・トランプ,1,冬季五輪,3
2002年ソルトレークシティ五輪のフィギュアスケート女子シングルで5位に入賞した日本人選手は誰ですか？,荒川静香,恩田美栄,村主章枝,安藤美姫,2,冬季五輪,4
2006年トリノ五輪のフィギュアスケート女子シングルで金メダルを獲得した選手は誰ですか？,村主章枝,安藤美姫,荒川静香,浅田真央,2,冬季五輪,1
2006年トリノ五輪の開会式で、最後に「誰も寝てはならぬ」を歌った世界的なテノール歌手は誰ですか？,プラシド・ドミンゴ,ホセ・カレーラス,ルチアーノ・パヴァロッティ,アンドレア・ボチェッリ,2,冬季五輪,3
2006年トリノ五輪で、日本選手団が獲得した唯一のメダルは何色でしたか？,金,銀,銅,なし,0,冬季五輪,2
2006年トリノ五輪のスキー・フリースタイル女子モーグルで、上村愛子は何位に入賞しましたか？,3位,4位,5位,6位,2,冬季五輪,4
2006年トリノ五輪のカーリング女子日本代表の最終順位は何位でしたか？,5位,6位,7位,8位,2,冬季五輪,5
2010年バンクーバー五輪の開会式が行われた会場の特徴として正しいものはどれですか？,五輪史上初の屋内開催,五輪史上初の水上開催,五輪史上初の山頂開催,五輪史上初の無観客開催,0,冬季五輪,3
2010年バンクーバー五輪のフィギュアスケート女子シングルで銀メダルを獲得した選手は誰ですか？,キム・ヨナ,浅田真央,ジョアニー・ロシェット,安藤美姫,1,冬季五輪,1
2010年バンクーバー五輪のフィギュアスケート男子シングルで銅メダルを獲得した選手は誰ですか？,織田信成,小塚崇彦,髙橋大輔,羽生結弦,2,冬季五輪,2
2010年バンクーバー五輪のスピードスケート男子500mで銀メダルを獲得した選手は誰ですか？,加藤条治,長島圭一郎,及川佑,太田明生,1,冬季五輪,3
2010年バンクーバー五輪のスピードスケート女子チームパシュートで、日本が獲得したメダルの色は？,金,銀,銅,なし,1,冬季五輪,3
2010年バンクーバー五輪の開会式での聖火点灯時、トラブルにより発生した事象はどれですか？,聖火が消えてしまった,聖火台の柱が1本上がらなかった,聖火ランナーが転倒した,点火装置が作動しなかった,1,冬季五輪,4
2014年ソチ五輪のフィギュアスケート男子シングルで金メダルを獲得した選手は誰ですか？,パトリック・チャン,デニス・テン,羽生結弦,髙橋大輔,2,冬季五輪,1
2014年ソチ五輪のスキージャンプ男子ラージヒル個人で銀メダルを獲得した、当時41歳の選手は誰ですか？,伊東大貴,竹内択,葛西紀明,清水礼留飛,2,冬季五輪,2
2014年ソチ五輪のスノーボード男子ハーフパイプで銀メダルを獲得した選手は誰ですか？,平野歩夢,平岡卓,ショーン・ホワイト,ユーリ・ポドラドチコフ,0,冬季五輪,2
2014年ソチ五輪から新たに採用された種目は次のうちどれですか？,カーリング混合ダブルス,スキージャンプ女子,スノーボードビッグエア,スピードスケートマススタート,1,冬季五輪,3
2014年ソチ五輪のフィギュアスケート女子シングルで、浅田真央は何位に入賞しましたか？,3位,4位,5位,6位,3,冬季五輪,4
2014年ソチ五輪のスキー・ノルディック複合ノーマルヒル個人で銀メダルを獲得した選手は誰ですか？,渡部暁斗,永井秀昭,加藤大平,湊祐介,0,冬季五輪,3
2018年平昌五輪のスピードスケート女子500mで金メダルを獲得した選手は誰ですか？,小平奈緒,李相花,髙木美帆,郷亜里砂,0,冬季五輪,1
2018年平昌五輪のフィギュアスケート男子シングルで66年ぶりの連覇を達成した選手は誰ですか？,宇野昌磨,ハビエル・フェルナンデス,羽生結弦,ネイサン・チェン,2,冬季五輪,1
2018年平昌五輪のスピードスケート女子チームパシュートで、日本が獲得したメダルの色は？,金,銀,銅,なし,0,冬季五輪,2
2018年平昌五輪のカーリング女子で銅メダルを獲得した日本代表チームの愛称は？,フォルティウス,チーム青森,ロコ・ソラーレ,北海道銀行,2,冬季五輪,2
2018年平昌五輪のアルペンスキーとスノーボードの両方で金メダルを獲得するという史上初の快挙を成し遂げた選手は誰ですか？,ミカエラ・シフリン,リンゼイ・ボン,エステル・レデツカ,アンナ・ガッサー,2,冬季五輪,4
2018年平昌五輪のスピードスケート女子マススタートで初代女王に輝いた日本人選手は誰ですか？,佐藤綾乃,髙木美帆,髙木菜那,菊池彩花,2,冬季五輪,3
2018年平昌五輪で日本選手団が獲得したメダル総数は過去最多（当時）の何個でしたか？,10個,11個,12個,13個,3,冬季五輪,4
2018年平昌五輪の開会式で、極寒の中、上半身裸の民族衣装で登場し注目を集めたのはどこの国の旗手ですか？,ジャマイカ,バミューダ,トンガ,ナイジェリア,2,冬季五輪,3
2022年北京五輪の開催都市である北京が、オリンピック史上初めて達成したことは何ですか？,夏冬両季の開催,3大会連続の開催,南半球での開催,2年連続の開催,0,冬季五輪,2
2022年北京五輪のスノーボード男子ハーフパイプで金メダルを獲得した選手は誰ですか？,スコッティ・ジェームズ,ショーン・ホワイト,平野歩夢,戸塚優斗,2,冬季五輪,1
2022年北京五輪のスキージャンプ男子ノーマルヒル個人で金メダルを獲得した選手は誰ですか？,小林陵侑,佐藤幸椰,中村直幹,小林潤志郎,0,冬季五輪,2
2022年北京五輪のスピードスケート女子1000mで金メダルを獲得した選手は誰ですか？,小平奈緒,髙木美帆,佐藤綾乃,郷亜里砂,1,冬季五輪,2
2022年北京五輪のカーリング女子で、日本代表（ロコ・ソラーレ）は何色のメダルを獲得しましたか？,金,銀,銅,なし,1,冬季五輪,2
2022年北京五輪のフィギュアスケート男子シングルで、4位に入賞した選手は誰ですか？,鍵山優真,宇野昌磨,ネイサン・チェン,羽生結弦,3,冬季五輪,3
2022年北京五輪の大会マスコットの名前は何ですか？,スホラン,ビンドゥンドゥン,シュエ・ロンロン,ミライトワ,1,冬季五輪,2
